Well,Vial,Run,Sample.Type,Dilution.Factor,Stnd.Conc
A1,,,,,0
A2,,,,,0
A3,,,,,0.0039
A4,,,,,0.0039
A5,,,,,0.0078
A6,,,,,0.0078
A7,,,,,0.0156
A8,,,,,0.0156
A9,,,,,0.03125
A10,,,,,0.03125
A11,,,,,0.0625
A12,,,,,0.0625
B1,,,,,0.125
B2,,,,,0.125
B3,,,,,0.25
B4,,,,,0.25
B5,,,,,0.5
B6,,,,,0.5
B7,,,,,1
B8,,,,,1
B9,,,,,
B10,,,,,
B11,,,,,
B12,,,,,
C1,,,,,
C2,,,,,
C3,,,,,
C4,,,,,
C5,,,,,
C6,,,,,
C7,,,,,
C8,,,,,
C9,,,,,
C10,,,,,
C11,,,,,
C12,,,,,
D1,,,,,
D2,,,,,
D3,,,,,
D4,,,,,
D5,,,,,
D6,,,,,
D7,,,,,
D8,,,,,
D9,,,,,
D10,,,,,
D11,,,,,
D12,,,,,
E1,,,,,
E2,,,,,
E3,,,,,
E4,,,,,
E5,,,,,
E6,,,,,
E7,,,,,
E8,,,,,
E9,,,,,
E10,,,,,
E11,,,,,
E12,,,,,
F1,,,,,
F2,,,,,
F3,,,,,
F4,,,,,
F5,,,,,
F6,,,,,
F7,,,,,
F8,,,,,
F9,,,,,
F10,,,,,
F11,,,,,
F12,,,,,
G1,,,,,
G2,,,,,
G3,,,,,
G4,,,,,
G5,,,,,
G6,,,,,
G7,,,,,
G8,,,,,
G9,,,,,
G10,,,,,
G11,,,,,
G12,,,,,
H1,,,,,
H2,,,,,
H3,,,,,
H4,,,,,
H5,,,,,
H6,,,,,
H7,,,,,
H8,,,,,
H9,,,,,
H10,,,,,
H11,,,,,
H12,,,,,