Measurement Name :,20191029-RUN2_28,,Generated On :,"29/10/2019, 20:11:19",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"29/10/2019, 19:01:17",,,,,,Batch No.:  ,PSt5-1624-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"29/10/2019, 20:10:55",,,,,,O2_cal0 [°],56.49,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],50.39,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-641,,,,,,O2_T0 [°C],10,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],10,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
29.10.19 19:01:20,"0,05",198.58,187.04,201.96,208.15,192.79,205.36,188.24,205.36,202.27,199.2,199.5,203.5,197.05,214.4,193.09,203.2,193.09,180.74,201.66,201.04,216.91,218.49,214.71,214.4,,28,965,34,28.38,
29.10.19 19:01:35,"0,3",200.43,188.24,201.04,210.02,194.61,207.22,186.14,205.05,205.98,199.81,201.66,206.29,196.75,215.34,191.57,201.35,196.44,180.74,202.89,200.12,219.12,215.65,213.14,216.6,,28,965,34,28.29,
29.10.19 19:01:50,"0,55",201.66,188.24,201.66,210.02,194,208.77,187.34,206.6,205.98,199.5,202.27,207.84,195.83,214.71,192.79,203.81,195.83,179.85,201.66,203.5,218.17,217.86,215.97,216.91,,28,965,34,28.25,
29.10.19 19:02:05,"0,8",200.73,187.34,202.89,211.89,194.61,207.84,188.85,205.67,204.74,201.96,204.74,207.22,198.28,214.08,194.31,203.5,199.2,178.96,202.27,203.5,216.6,218.17,216.28,218.17,,28,965,34,28.21,
29.10.19 19:02:21,"1,07",202.89,188.55,202.27,210.02,196.44,210.64,188.55,205.98,205.67,201.04,204.12,207.53,197.97,216.91,192.18,203.5,197.36,177.77,202.58,206.6,221.02,221.02,215.97,219.12,,28,965,34,28.16,
29.10.19 19:02:36,"1,32",203.2,188.55,203.2,211.58,197.36,210.02,188.85,204.12,205.67,200.43,204.43,207.84,197.36,217.54,194.61,203.81,199.2,176.58,205.05,204.74,225.15,220.07,216.6,220.07,,28,965,34,28.15,
29.10.19 19:02:51,"1,57",202.89,189.76,202.89,212.52,197.36,209.4,187.64,206.91,207.22,201.35,203.2,206.91,197.67,217.23,191.27,205.67,198.58,176.58,204.43,205.05,224.83,220.7,216.91,216.28,,28,965,34,28.13,
29.10.19 19:03:06,"1,82",203.81,190.06,201.66,213.14,195.53,210.96,187.94,205.98,207.22,199.5,203.2,208.46,197.67,216.6,192.79,207.53,197.05,175.69,204.43,205.67,223.24,222.29,218.49,218.49,,28,965,34,28.11,
29.10.19 19:03:22,"2,08",203.81,190.97,202.58,214.71,199.5,212.2,188.85,207.53,206.29,201.66,203.5,209.08,197.97,218.8,193.09,207.22,196.44,173.33,202.89,204.43,225.15,221.02,217.23,219.12,,28,965,34,28.08,
29.10.19 19:03:37,"2,33",203.5,189.76,200.73,212.83,197.67,211.89,189.15,206.91,206.6,203.2,202.58,205.36,198.58,219.75,193.09,205.67,200.43,175.99,201.66,205.98,225.79,219.12,216.91,217.54,,28,965,34,28.08,
29.10.19 19:03:52,"2,58",205.05,189.76,201.66,214.71,197.05,211.27,188.24,208.15,206.91,202.89,201.35,208.46,199.5,218.8,194,208.15,198.28,176.28,200.73,205.36,226.43,221.34,219.44,220.07,,28,965,34,28.07,
29.10.19 19:04:07,"2,83",203.2,191.57,201.96,215.03,198.58,213.14,187.64,204.74,205.05,203.5,203.5,208.46,198.28,220.7,195.83,208.46,198.89,173.92,204.74,206.29,224.83,222.29,218.49,219.75,,28,965,34,28.04,
29.10.19 19:04:22,"3,08",204.12,191.27,201.35,213.77,198.28,211.89,187.64,205.67,204.74,204.43,201.66,207.84,196.75,216.91,196.44,207.84,199.2,175.99,204.74,209.08,228.35,220.07,217.23,219.44,,28,965,34,28.01,
29.10.19 19:04:38,"3,35",205.36,191.57,201.35,215.03,198.89,211.58,187.94,206.91,204.74,204.43,200.73,208.15,197.97,219.44,195.53,207.53,197.36,177.17,201.35,208.77,226.75,221.65,220.07,222.92,,28,965,34,28.03,
29.10.19 19:04:53,"3,6",204.12,190.06,201.35,215.65,199.81,212.83,187.34,205.05,207.53,204.12,200.12,209.08,199.81,218.17,195.53,206.29,200.43,177.77,202.89,207.84,231.56,223.24,219.44,223.24,,28,965,34,28.01,
29.10.19 19:05:08,"3,85",204.74,190.66,201.04,214.71,199.81,213.14,187.04,207.22,206.91,204.12,202.58,206.29,198.89,218.49,195.22,205.98,201.66,177.17,202.89,209.4,229.63,224.83,222.29,219.12,,28,965,34,27.99,
29.10.19 19:05:23,"4,1",205.05,189.45,201.66,215.65,198.58,213.14,186.44,206.91,206.29,205.36,201.96,206.6,198.89,221.34,196.14,206.29,199.5,178.36,201.96,206.91,228.03,224.19,220.7,221.34,,28,965,34,27.97,
29.10.19 19:05:39,"4,37",204.43,190.06,201.66,214.08,197.97,213.14,185.23,206.29,205.67,204.43,199.5,206.29,198.58,221.34,194,205.36,201.35,175.1,202.89,209.71,230.27,224.83,220.07,220.39,,28,965,34,27.97,
29.10.19 19:05:54,"4,62",205.05,190.36,200.43,215.65,201.66,213.14,183.43,204.74,205.67,203.5,200.43,207.84,200.73,219.44,195.22,206.91,200.12,177.17,203.2,207.22,229.63,224.83,220.7,221.34,,28,965,34,27.96,
29.10.19 19:06:09,"4,87",204.12,190.66,199.2,214.4,200.73,215.03,184.33,207.53,205.05,202.89,200.43,206.6,199.2,218.8,195.53,205.67,200.12,173.92,201.35,209.08,229.63,223.88,222.29,222.29,,28,965,34,27.93,
29.10.19 19:06:24,"5,12",204.43,189.45,201.35,214.71,201.35,214.71,184.93,205.98,206.29,205.36,201.04,208.46,201.96,221.34,196.44,208.46,202.27,173.62,201.04,206.29,228.99,223.24,221.65,223.24,,28,965,34,27.94,
29.10.19 19:06:39,"5,37",204.74,188.24,199.81,215.65,199.5,214.08,184.03,206.29,206.6,204.43,199.5,205.98,200.43,221.65,194,207.22,199.81,171.85,199.5,207.84,228.67,221.97,220.07,220.07,,28,965,34,27.93,
29.10.19 19:06:55,"5,63",205.05,189.15,199.81,215.03,198.28,215.03,183.73,204.12,205.36,204.43,200.12,206.6,197.36,221.02,194.61,205.67,201.35,169.79,201.35,205.36,230.27,222.92,222.92,223.56,,28,965,34,27.93,
29.10.19 19:07:10,"5,88",204.43,187.34,198.28,215.03,198.58,214.4,185.23,205.36,206.6,203.2,200.12,206.91,199.2,221.65,194.31,207.53,200.43,169.5,202.58,207.53,229.95,224.51,221.97,223.56,,28,965,34,27.9,
29.10.19 19:07:25,"6,13",203.5,187.64,198.89,216.28,198.28,214.08,183.73,204.74,205.98,204.43,199.5,208.46,197.97,221.34,192.48,207.84,198.58,171.56,202.58,210.02,227.71,222.92,220.39,223.24,,28,965,34,27.93,
29.10.19 19:07:40,"6,38",204.74,189.76,197.67,215.34,197.97,215.03,184.33,202.89,206.6,204.43,199.81,206.6,199.81,221.34,195.22,206.29,200.12,172.15,200.73,206.91,231.23,223.88,221.97,224.19,,28,965,34,27.9,
29.10.19 19:07:56,"6,65",204.74,187.94,197.36,215.65,198.89,213.46,181.94,205.98,207.84,205.05,200.43,206.6,197.97,221.02,193.39,204.12,199.81,172.15,202.89,210.96,230.27,227.07,223.24,224.19,,28,965,34,27.9,
29.10.19 19:08:11,"6,9",203.81,189.15,197.67,214.4,199.5,213.46,182.84,205.05,206.6,203.81,197.05,206.29,199.81,220.07,195.53,205.36,201.96,171.56,197.67,209.4,229.31,224.51,224.83,226.11,,28,965,34,27.89,
29.10.19 19:08:26,"7,15",204.74,188.24,195.22,216.28,197.97,216.28,182.54,204.12,207.84,203.5,198.28,208.15,198.58,222.6,194,205.98,201.35,169.79,198.58,210.02,231.88,225.47,222.29,224.19,,28,965,34,27.88,
29.10.19 19:08:41,"7,4",204.12,188.24,195.22,216.91,198.89,215.97,182.54,203.2,206.6,203.2,196.14,206.29,199.2,219.75,191.88,206.91,201.96,170.97,199.5,208.46,231.88,225.47,223.56,222.29,,28,965,34,27.88,
29.10.19 19:08:57,"7,67",204.12,187.64,195.53,216.28,199.81,215.03,181.94,203.81,206.6,204.74,197.05,204.43,199.5,222.92,193.09,206.6,201.66,170.09,200.12,210.33,234.14,228.03,220.7,222.92,,28,965,34,27.88,
29.10.19 19:09:12,"7,92",204.12,186.44,195.83,214.71,198.28,214.08,180.15,202.89,205.36,203.81,196.44,205.98,197.67,220.07,194.92,206.29,201.35,169.21,200.43,209.08,232.52,224.51,226.11,220.7,,28,965,34,27.86,
29.10.19 19:09:27,"8,17",204.12,187.04,195.83,216.28,199.81,215.34,178.96,201.35,205.98,204.12,196.14,206.91,200.73,221.02,194.61,206.6,199.2,167.74,199.5,210.02,229.95,226.11,226.75,222.92,,28,965,34,27.86,
29.10.19 19:09:42,"8,42",203.81,187.04,195.53,216.91,197.36,215.65,179.25,202.27,206.29,203.81,196.14,206.6,200.43,221.34,195.22,206.6,202.58,164.24,198.58,207.22,231.23,228.99,223.88,222.6,,28,965,34,27.86,
29.10.19 19:09:58,"8,68",204.12,187.04,194.92,215.65,197.67,213.77,178.96,201.35,207.53,202.89,196.14,205.67,198.28,221.34,191.27,207.53,199.81,166.87,199.5,209.08,228.99,225.15,221.34,222.92,,28,965,34,27.86,
29.10.19 19:10:13,"8,93",203.81,187.34,196.44,217.54,198.28,215.34,177.77,199.5,205.98,203.2,195.22,205.98,197.67,221.65,194,209.4,202.27,164.24,197.97,205.98,231.88,224.51,222.92,223.24,,28,965,34,27.85,
29.10.19 19:10:28,"9,18",203.81,186.74,194.92,216.28,196.75,214.08,177.47,200.43,205.05,203.81,195.22,206.6,197.97,221.34,192.18,206.29,200.73,166.87,199.5,209.71,229.63,224.83,225.47,225.79,,28,965,34,27.85,
29.10.19 19:10:43,"9,43",204.43,188.24,195.22,215.97,196.44,213.14,177.47,199.2,207.22,204.43,196.44,205.98,198.58,223.56,193.7,207.53,200.12,163.37,195.83,210.02,232.84,228.03,223.88,226.43,,28,965,34,27.83,
29.10.19 19:10:59,"9,7",203.81,188.24,197.05,216.91,196.75,215.65,177.17,198.89,204.43,203.81,196.14,205.05,198.58,221.34,194,204.74,200.12,163.66,197.97,209.71,230.27,225.47,222.29,227.07,,28,965,34,27.83,
29.10.19 19:11:14,"9,95",204.43,190.06,195.53,216.28,194.92,216.6,177.47,199.2,206.6,203.81,194.61,204.74,195.53,222.6,190.36,206.29,201.96,164.24,197.05,207.84,229.63,229.95,223.88,226.43,,28,965,34,27.83,
29.10.19 19:11:29,"10,2",202.89,188.24,196.14,214.71,196.14,215.34,175.69,198.58,206.6,201.96,195.22,204.12,196.75,220.39,191.27,207.84,198.58,164.53,195.53,209.71,233.49,228.99,225.15,224.51,,28,965,34,27.83,
29.10.19 19:11:44,"10,45",203.2,187.64,195.22,215.65,196.14,215.03,175.99,198.58,205.98,203.81,195.53,205.05,198.28,221.65,192.18,206.6,199.81,163.95,195.83,208.46,233.49,227.07,223.56,223.24,,28,965,34,27.83,
29.10.19 19:11:59,"10,7",202.27,187.64,196.14,215.97,194.92,216.28,174.21,196.75,205.67,205.05,194.92,205.05,196.75,222.29,192.18,208.15,200.12,162.21,194.61,207.84,232.84,227.39,225.15,223.88,,28,965,34,27.82,
29.10.19 19:12:15,"10,97",202.58,187.04,194.92,215.03,197.05,216.28,174.8,195.22,205.05,204.74,196.14,201.96,196.44,221.97,190.66,206.91,200.12,161.34,196.75,207.84,234.78,225.79,223.56,225.15,,28,965,34,27.82,
29.10.19 19:12:30,"11,22",203.2,187.94,195.22,215.97,194.31,216.28,174.8,197.67,205.67,202.27,195.22,201.96,197.36,223.56,191.57,205.67,198.89,159.89,194.31,209.08,233.49,225.47,225.79,224.51,,28,965,34,27.8,
29.10.19 19:12:45,"11,47",201.04,188.55,196.44,215.03,194.61,214.4,173.33,194.31,207.84,203.2,193.39,204.74,196.14,220.39,187.94,209.08,200.43,159.31,194.61,209.08,233.49,230.59,223.56,225.15,,28,965,34,27.8,
29.10.19 19:13:00,"11,72",202.89,189.45,195.83,216.6,196.44,214.4,172.44,196.75,205.36,202.58,193.09,203.81,198.58,221.65,190.36,205.05,200.43,159.02,195.53,211.58,232.52,225.47,222.29,224.51,,28,965,34,27.82,
29.10.19 19:13:15,"11,97",202.89,188.85,195.83,215.65,195.22,215.03,173.03,195.83,204.74,201.96,195.83,201.35,197.67,221.65,190.06,203.81,198.58,159.31,194.31,205.05,232.52,227.07,224.83,222.92,,28,965,34,27.8,
29.10.19 19:13:31,"12,23",203.2,187.94,197.67,215.03,194.61,215.97,173.33,195.22,206.6,202.58,194.61,204.12,197.05,221.65,187.34,206.29,199.2,157.58,192.48,208.77,235.11,226.11,224.83,222.92,,28,965,34,27.79,
29.10.19 19:13:46,"12,48",201.66,189.15,197.36,214.71,194.92,215.03,170.38,196.44,206.6,201.96,193.7,201.96,195.83,222.29,186.44,203.81,199.2,156.43,191.27,210.64,232.52,229.63,222.6,228.03,,28,965,34,27.79,
29.10.19 19:14:01,"12,73",202.58,189.15,197.36,215.97,194,215.97,170.09,195.53,206.6,201.96,193.09,200.12,197.05,222.92,188.55,204.43,199.2,154.13,192.48,210.64,236.73,226.11,223.56,225.79,,28,965,34,27.8,
29.10.19 19:14:17,"13,0",201.96,189.45,197.36,215.65,194.92,215.65,171.85,195.53,206.29,200.73,192.18,202.27,195.83,223.88,187.94,204.74,201.04,154.42,192.48,208.46,231.56,226.75,226.75,226.43,,28,965,34,27.79,
29.10.19 19:14:32,"13,25",201.96,187.94,196.75,214.08,194,215.34,170.97,194,208.15,202.58,192.18,200.73,197.67,220.07,186.44,205.36,201.04,154.71,189.76,209.71,233.17,227.07,223.88,225.79,,28,965,34,27.79,
29.10.19 19:14:47,"13,5",201.66,190.06,197.67,213.14,192.48,215.34,168.91,194.92,204.12,200.73,190.97,201.04,195.22,222.92,187.04,204.12,199.81,152.99,189.76,207.22,233.49,228.67,222.29,224.51,,28,965,34,27.79,
29.10.19 19:15:02,"13,75",201.04,189.15,198.58,214.08,191.27,214.71,168.04,193.7,205.67,199.81,190.97,201.66,196.14,221.34,185.84,200.73,195.83,156.14,188.85,209.4,233.17,225.79,221.02,226.11,,28,965,34,27.78,
29.10.19 19:15:18,"14,02",201.04,188.55,198.28,214.71,192.48,213.77,170.38,193.7,205.36,200.73,191.27,202.58,195.83,221.97,184.03,201.96,198.58,155.85,188.55,208.46,233.17,229.63,223.24,226.43,,28,965,34,27.79,
29.10.19 19:15:33,"14,27",201.04,189.45,198.89,215.03,193.09,214.4,168.33,193.39,208.15,199.5,190.97,199.5,195.83,222.6,186.14,204.74,199.2,156.43,191.27,208.15,232.52,229.63,223.88,225.47,,28,965,34,27.79,
29.10.19 19:15:48,"14,52",200.73,189.45,196.44,212.83,191.27,214.71,169.21,194,205.67,200.73,190.97,200.12,196.75,221.34,187.34,201.35,198.28,154.99,189.76,208.46,231.56,228.67,225.79,225.79,,28,965,34,27.79,
29.10.19 19:16:03,"14,77",201.66,188.85,196.44,213.77,190.97,213.77,169.21,194,207.22,200.12,191.27,199.5,195.83,222.92,185.53,200.73,196.75,156.43,189.45,207.22,232.52,229.63,222.29,225.15,,28,965,34,27.79,
29.10.19 19:16:19,"15,03",199.81,190.66,198.58,213.77,189.45,212.83,168.33,192.48,207.22,200.12,192.18,198.58,194.61,222.92,185.84,201.96,196.75,157,189.76,207.53,232.52,227.07,227.39,228.03,,28,965,34,27.79,
29.10.19 19:16:34,"15,28",200.43,189.76,197.05,214.71,189.76,215.03,168.04,190.97,205.98,199.81,191.57,199.5,195.83,222.29,183.73,202.27,198.58,156.72,191.57,207.84,235.11,230.59,224.51,228.35,,28,965,34,27.79,
29.10.19 19:16:49,"15,53",200.43,188.55,198.58,211.89,189.15,212.83,166.87,192.48,205.98,199.2,190.66,200.43,194,222.29,183.73,200.73,196.14,154.99,188.85,210.02,233.49,229.63,223.88,225.79,,28,965,34,27.79,
29.10.19 19:17:04,"15,78",199.81,190.66,197.97,212.83,187.64,213.46,166.57,192.79,203.81,201.66,192.48,198.28,192.18,224.19,184.03,200.12,195.53,155.85,187.04,207.53,235.43,230.91,224.83,225.15,,28,965,34,27.78,
29.10.19 19:17:19,"16,03",199.5,190.06,196.44,214.08,188.55,213.14,168.04,190.97,204.74,198.89,190.06,199.2,194,225.47,183.73,200.43,196.75,156.14,188.85,210.02,235.11,228.67,223.88,226.43,,28,965,34,27.76,
29.10.19 19:17:35,"16,3",199.2,188.85,196.14,212.83,186.14,214.08,167.16,191.57,205.67,199.5,190.36,198.89,191.88,221.97,182.84,199.2,197.05,156.14,188.55,207.53,233.17,226.75,224.83,226.75,,28,965,34,27.78,
29.10.19 19:17:50,"16,55",198.89,190.36,196.14,212.52,190.06,212.2,166.28,191.27,204.43,197.05,188.85,199.5,194.31,222.6,183.73,198.89,194.61,157.29,187.94,208.77,234.78,230.27,223.24,224.51,,28,965,34,27.78,
29.10.19 19:18:05,"16,8",199.5,190.06,195.83,211.89,188.55,213.77,166.57,190.06,205.67,196.14,188.55,197.36,193.09,225.79,179.85,201.04,197.05,154.42,188.24,206.91,235.11,228.67,223.56,225.79,,28,965,34,27.79,
29.10.19 19:18:20,"17,05",198.28,190.06,195.83,211.89,187.64,212.2,165.11,190.66,204.74,198.89,189.76,196.44,192.79,223.88,181.04,200.43,195.22,154.99,185.23,206.29,235.11,226.11,226.11,226.75,,28,965,34,27.76,
29.10.19 19:18:36,"17,32",197.97,189.45,195.83,211.89,189.15,213.46,166.57,190.36,203.81,197.36,189.15,197.36,190.97,223.56,183.13,199.81,198.58,154.71,186.44,208.15,235.11,228.03,224.51,224.19,,28,965,34,27.78,
29.10.19 19:18:51,"17,57",198.28,188.24,197.05,211.89,187.64,213.77,165.11,189.45,204.74,196.75,188.55,196.75,192.18,222.92,181.64,201.04,196.75,155.85,188.55,208.15,236.73,229.63,222.92,227.39,,28,965,34,27.78,
29.10.19 19:19:06,"17,82",197.36,189.76,196.44,211.89,189.45,210.64,166.57,189.15,203.5,195.53,187.64,196.44,191.88,222.6,181.34,197.67,197.67,156.72,186.44,206.6,232.52,227.71,224.83,227.07,,28,965,34,27.78,
29.10.19 19:19:21,"18,07",196.75,189.15,195.53,211.27,187.94,211.58,165.99,188.55,203.5,194.31,187.94,196.75,190.06,224.51,178.06,197.67,195.22,154.99,184.93,206.91,234.14,226.11,224.51,226.75,,28,965,34,27.78,
29.10.19 19:19:37,"18,33",197.05,189.15,196.44,210.64,187.04,212.2,164.24,189.45,202.58,194,187.34,195.83,189.76,221.65,181.34,199.81,194,154.71,189.45,208.77,233.49,231.56,225.15,226.75,,28,965,34,27.76,
29.10.19 19:19:52,"18,58",196.44,189.15,194.92,212.52,186.44,210.64,163.66,188.24,204.12,192.79,188.55,194.61,190.36,222.29,179.25,198.28,194,156.43,185.53,210.64,233.49,228.67,224.51,227.71,,28,965,34,27.76,
29.10.19 19:20:07,"18,83",196.14,188.85,195.53,208.77,184.93,210.64,162.79,186.74,204.74,192.79,188.55,193.39,191.88,221.97,178.66,197.67,196.44,155.28,185.23,209.4,235.75,229.63,225.15,223.56,,28,965,34,27.76,
29.10.19 19:20:22,"19,08",194.31,189.76,194.61,210.64,186.74,210.02,162.79,187.64,202.89,192.48,185.53,193.7,190.06,222.6,178.96,197.67,195.83,155.57,182.84,207.53,236.4,227.71,224.19,226.43,,28,965,34,27.76,
29.10.19 19:20:38,"19,35",194.92,189.15,195.22,210.64,187.34,212.2,162.5,185.53,200.73,191.88,188.24,194,189.76,222.29,177.47,198.58,195.53,154.13,183.43,209.71,236.08,230.59,223.56,225.79,,28,965,34,27.76,
29.10.19 19:20:53,"19,6",193.09,190.36,194.92,209.71,186.14,209.08,162.21,187.94,202.27,191.57,187.04,191.27,190.66,221.97,178.06,198.89,195.22,154.71,184.03,207.22,234.14,227.71,224.51,225.15,,28,965,34,27.76,
29.10.19 19:21:08,"19,85",194,189.76,193.7,211.27,189.15,209.4,162.5,185.53,204.12,192.18,186.74,193.39,187.94,222.92,177.17,197.67,194.31,155.28,182.24,208.46,234.14,228.03,225.15,225.15,,28,965,34,27.76,
29.10.19 19:21:23,"20,1",194,189.15,193.39,210.02,187.94,209.71,161.34,186.14,202.27,192.18,185.53,190.66,189.45,221.97,178.06,196.75,192.79,155.85,184.63,205.98,235.11,227.71,224.51,224.19,,28,965,34,27.76,
29.10.19 19:21:38,"20,35",192.79,187.94,193.09,210.02,187.04,208.77,161.05,185.23,202.27,190.97,185.84,190.06,190.66,222.29,179.55,195.83,195.22,154.71,184.93,204.74,234.14,229.63,225.79,227.71,,28,965,34,27.76,
29.10.19 19:21:54,"20,62",194.31,189.15,193.09,208.77,187.94,207.84,159.31,185.84,201.96,190.36,186.44,191.88,187.94,223.56,178.36,196.44,193.09,155.28,185.84,204.74,236.08,226.43,225.15,226.43,,28,965,34,27.76,
29.10.19 19:22:09,"20,87",193.39,188.85,191.27,210.64,187.94,206.91,159.31,184.33,198.58,188.55,184.33,187.64,188.85,224.51,174.8,194.31,194.61,154.71,180.74,207.22,233.81,227.71,224.83,223.56,,28,965,34,27.76,
29.10.19 19:22:24,"21,12",192.79,186.74,191.88,210.33,188.85,207.22,161.63,182.24,201.96,189.45,184.63,189.15,187.94,221.02,173.92,193.39,193.7,156.43,181.64,207.53,235.11,229.63,222.6,227.39,,28,965,34,27.76,
29.10.19 19:22:40,"21,38",193.7,188.55,191.88,209.4,186.74,207.22,158.45,183.43,201.96,188.24,186.14,187.64,190.36,221.65,175.69,195.53,192.79,156.43,180.15,207.22,235.11,231.56,223.56,227.07,,28,965,34,27.76,
29.10.19 19:22:55,"21,63",191.57,186.44,190.36,209.08,187.34,207.22,159.31,182.84,202.58,188.85,185.84,188.55,187.94,224.19,175.69,192.48,194.31,156.43,180.45,209.08,236.08,226.11,221.02,228.03,,28,965,34,27.76,
