Date,Sample.ID,Fragment.ID,Chamber.Channel,Position,Run,Species,Sample.Type,Chamber.Vol.L,Surf.Area.cm2,Start time,Stop Time,Light_Dark,Light_Level,Step,Notes,QC
20191024,1-POR-1,1-POR-1,7,7,PI,Apulchra,Coral,0.6,,16:17,16:28,Dark,,1,,
20191024,1-ACR-1,1-ACR-1,8,8,PI,Apulchra,Coral,0.616,,16:17,16:28,Dark,,1,,
20191024,1-POC-1,1-POC-1,9,9,PI,Apulchra,Coral,0.604,,16:17,16:28,Dark,,1,,
20191024,1-POC-2,1-POC-2,10,10,PI,Apulchra,Coral,0.61,,16:17,16:28,Dark,,1,,
20191024,1.POR-2,1.POR-2,1,11,PI,Apulchra,Coral,0.595,,16:17,16:28,Dark,,1,,
20191024,1.ACR-2,1.ACR-2,2,12,PI,Apulchra,Coral,0.61,,16:17,16:28,Dark,,1,,
20191024,1-POR-1,1-POR-1,7,7,PI,Apulchra,Coral,0.6,,16:30,16:40,Light,,2,,
20191024,1-ACR-1,1-ACR-1,8,8,PI,Apulchra,Coral,0.616,,16:30,16:40,Light,,2,,
20191024,1-POC-1,1-POC-1,9,9,PI,Apulchra,Coral,0.604,,16:30,16:40,Light,,2,,
20191024,1-POC-2,1-POC-2,10,10,PI,Apulchra,Coral,0.61,,16:30,16:40,Light,,2,,
20191024,1.POR-2,1.POR-2,1,11,PI,Apulchra,Coral,0.595,,16:30,16:40,Light,,2,,
20191024,1.ACR-2,1.ACR-2,2,12,PI,Apulchra,Coral,0.61,,16:30,16:40,Light,,2,,
20191024,1-POR-1,1-POR-1,7,7,PI,Apulchra,Coral,0.6,,16:42,16:55,Light,,3,,
20191024,1-ACR-1,1-ACR-1,8,8,PI,Apulchra,Coral,0.616,,16:42,16:55,Light,,3,,
20191024,1-POC-1,1-POC-1,9,9,PI,Apulchra,Coral,0.604,,16:42,16:55,Light,,3,,
20191024,1-POC-2,1-POC-2,10,10,PI,Apulchra,Coral,0.61,,16:42,16:55,Light,,3,,
20191024,1.POR-2,1.POR-2,1,11,PI,Apulchra,Coral,0.595,,16:42,16:55,Light,,3,,
20191024,1.ACR-2,1.ACR-2,2,12,PI,Apulchra,Coral,0.61,,16:42,16:53,Light,,3,,
20191024,1-POR-1,1-POR-1,7,7,PI,Apulchra,Coral,0.6,,16:55,17:05,Light,,4,,
20191024,1-ACR-1,1-ACR-1,8,8,PI,Apulchra,Coral,0.616,,16:55,17:05,Light,,4,,
20191024,1-POC-1,1-POC-1,9,9,PI,Apulchra,Coral,0.604,,16:55,17:05,Light,,4,,
20191024,1-POC-2,1-POC-2,10,10,PI,Apulchra,Coral,0.61,,16:55,17:05,Light,,4,,
20191024,1.POR-2,1.POR-2,1,11,PI,Apulchra,Coral,0.595,,16:55,17:05,Light,,4,,
20191024,1.ACR-2,1.ACR-2,2,12,PI,Apulchra,Coral,0.61,,16:55,17:05,Light,,4,,
20191024,1-POR-1,1-POR-1,7,7,PI,Apulchra,Coral,0.6,,17:07,17:20,Light,,5,,
20191024,1-ACR-1,1-ACR-1,8,8,PI,Apulchra,Coral,0.616,,17:07,17:20,Light,,5,,
20191024,1-POC-1,1-POC-1,9,9,PI,Apulchra,Coral,0.604,,17:07,17:20,Light,,5,,
20191024,1-POC-2,1-POC-2,10,10,PI,Apulchra,Coral,0.61,,17:07,17:20,Light,,5,,
20191024,1.POR-2,1.POR-2,1,11,PI,Apulchra,Coral,0.595,,17:07,17:20,Light,,5,,
20191024,1.ACR-2,1.ACR-2,2,12,PI,Apulchra,Coral,0.61,,17:07,17:20,Light,,5,,
20191024,1-POR-1,1-POR-1,7,7,PI,Apulchra,Coral,0.6,,17:22,17:36,Light,,6,,
20191024,1-ACR-1,1-ACR-1,8,8,PI,Apulchra,Coral,0.616,,17:22,17:36,Light,,6,,
20191024,1-POC-1,1-POC-1,9,9,PI,Apulchra,Coral,0.604,,17:22,17:36,Light,,6,,
20191024,1-POC-2,1-POC-2,10,10,PI,Apulchra,Coral,0.61,,17:22,17:36,Light,,6,,
20191024,1.POR-2,1.POR-2,1,11,PI,Apulchra,Coral,0.595,,17:22,17:36,Light,,6,,
20191024,1.ACR-2,1.ACR-2,2,12,PI,Apulchra,Coral,0.61,,17:22,17:36,Light,,6,,
20191024,1-POR-1,1-POR-1,7,7,PI,Apulchra,Coral,0.6,,17:38,17:47,Light,,7,,
20191024,1-ACR-1,1-ACR-1,8,8,PI,Apulchra,Coral,0.616,,17:38,17:47,Light,,7,,
20191024,1-POC-1,1-POC-1,9,9,PI,Apulchra,Coral,0.604,,17:38,17:47,Light,,7,,
20191024,1-POC-2,1-POC-2,10,10,PI,Apulchra,Coral,0.61,,17:38,17:47,Light,,7,,
20191024,1.POR-2,1.POR-2,1,11,PI,Apulchra,Coral,0.595,,17:38,17:47,Light,,7,,
20191024,1.ACR-2,1.ACR-2,2,12,PI,Apulchra,Coral,0.61,,17:38,17:47,Light,,7,,
20191024,1-POR-1,1-POR-1,7,7,PI,Apulchra,Coral,0.6,,17:48,17:55,Light,,8,,
20191024,1-ACR-1,1-ACR-1,8,8,PI,Apulchra,Coral,0.616,,17:48,17:55,Light,,8,,
20191024,1-POC-1,1-POC-1,9,9,PI,Apulchra,Coral,0.604,,17:48,17:55,Light,,8,,
20191024,1-POC-2,1-POC-2,10,10,PI,Apulchra,Coral,0.61,,17:48,17:55,Light,,8,,
20191024,1.POR-2,1.POR-2,1,11,PI,Apulchra,Coral,0.595,,17:48,17:55,Light,,8,,
20191024,1.ACR-2,1.ACR-2,2,12,PI,Apulchra,Coral,0.61,,17:48,17:55,Light,,8,,
20191024,1-POR-1,1-POR-1,7,7,PI,Apulchra,Coral,0.6,,17:57,18:03,Light,,9,,
20191024,1-ACR-1,1-ACR-1,8,8,PI,Apulchra,Coral,0.616,,17:57,18:03,Light,,9,,
20191024,1-POC-1,1-POC-1,9,9,PI,Apulchra,Coral,0.604,,17:57,18:03,Light,,9,,
20191024,1-POC-2,1-POC-2,10,10,PI,Apulchra,Coral,0.61,,17:57,18:03,Light,,9,,
20191024,1.POR-2,1.POR-2,1,11,PI,Apulchra,Coral,0.595,,17:57,18:03,Light,,9,,
20191024,1.ACR-2,1.ACR-2,2,12,PI,Apulchra,Coral,0.61,,17:57,18:03,Light,,9,,
20191024,1-POR-1,1-POR-1,7,7,PI,Apulchra,Coral,0.6,,18:05,18:13,Light,,10,,
20191024,1-ACR-1,1-ACR-1,8,8,PI,Apulchra,Coral,0.616,,18:05,18:13,Light,,10,,
20191024,1-POC-1,1-POC-1,9,9,PI,Apulchra,Coral,0.604,,18:05,18:13,Light,,10,,
20191024,1-POC-2,1-POC-2,10,10,PI,Apulchra,Coral,0.61,,18:05,18:13,Light,,10,,
20191024,1.POR-2,1.POR-2,1,11,PI,Apulchra,Coral,0.595,,18:05,18:13,Light,,10,,
20191024,1.ACR-2,1.ACR-2,2,12,PI,Apulchra,Coral,0.61,,18:05,18:13,Light,,10,,
20191024,1-POR-1,1-POR-1,7,7,PI,Apulchra,Coral,0.6,,18:15,18:26,Light,,11,,
20191024,1-ACR-1,1-ACR-1,8,8,PI,Apulchra,Coral,0.616,,18:15,18:26,Light,,11,,
20191024,1-POC-1,1-POC-1,9,9,PI,Apulchra,Coral,0.604,,18:15,18:26,Light,,11,,
20191024,1-POC-2,1-POC-2,10,10,PI,Apulchra,Coral,0.61,,18:15,18:26,Light,,11,,
20191024,1.POR-2,1.POR-2,1,11,PI,Apulchra,Coral,0.595,,18:15,18:26,Light,,11,,
20191024,1.ACR-2,1.ACR-2,2,12,PI,Apulchra,Coral,0.61,,18:15,18:26,Light,,11,,
20191024,1-POR-1,1-POR-1,7,7,PI,Apulchra,Coral,0.6,,18:24,18:31,Light,,12,,
20191024,1-ACR-1,1-ACR-1,8,8,PI,Apulchra,Coral,0.616,,18:24,18:31,Light,,12,,
20191024,1-POC-1,1-POC-1,9,9,PI,Apulchra,Coral,0.604,,18:24,18:31,Light,,12,,
20191024,1-POC-2,1-POC-2,10,10,PI,Apulchra,Coral,0.61,,18:24,18:31,Light,,12,,
20191024,1.POR-2,1.POR-2,1,11,PI,Apulchra,Coral,0.595,,18:24,18:31,Light,,12,,
20191024,1.ACR-2,1.ACR-2,2,12,PI,Apulchra,Coral,0.61,,18:24,18:31,Light,,12,,