"","Fragment.ID","Intercept","Âµmol.L.sec","Temp"
"1","2-ACR-1_1",182.681641733871,-0.00588568548387113,27.1817115384615
"2","2-ACR-1_2",178.211413450292,-0.00457719298245627,27.1907428571429
"3","2-ACR-1_3",175.303821182266,-0.00376206896551688,27.23285
"4","2-ACR-1_4",172.820411494253,-0.0037072302558398,27.2501315789474
"5","2-ACR-1_5",170.591973604269,-0.00276997018408091,27.2760441176471
"6","2-ACR-1_6",168.009925464946,-0.000813123174294027,27.2102966101695
"7","2-ACR-1_7",166.915516905486,0.00218846070343019,27.1737258064516
"8","2-ACR-1_8",169.099425846154,0.00501107692307671,27.1665666666667
"9","2-ACR-1_9",171.745768782609,0.0074203478260866,27.2092121212121
"10","2-ACR-1_10",176.035300426742,0.00788165007112384,27.3067391304348
"11","2-ACR-1_11",181.803424923077,0.00954806837606867,27.3857714285714
"12","2-ACR-1_12",187.983860714286,0.00872261904761956,27.4045172413793
"x1438","2-POC-1_1",180.195064798387,-0.00697528225806466,27.4739811320755
"x1107","2-POC-1_2",175.051386781609,-0.00621683087027905,27.4514324324324
"x1318","2-POC-1_3",171.224976081378,-0.00568557551319651,27.4713333333333
"x1459","2-POC-1_4",167.777163235294,-0.00464117647058839,27.4633684210526
"x1362","2-POC-1_5",164.998456229508,-0.00318081967213116,27.4613676470588
"x1903","2-POC-1_6",162.136242740099,-0.00173920565511064,27.3666101694915
"x1759","2-POC-1_7",159.785414146342,0.00194195121951207,27.3233015873016
"x1261","2-POC-1_8",161.529095604395,0.00490439560439601,27.3025333333333
"x168","2-POC-1_9",163.81498242735,0.00599432478632485,27.3584193548387
"x1133","2-POC-1_10",167.233416470588,0.00618072829131672,27.4632826086957
"x1263","2-POC-1_11",171.685524307692,0.00813723076923071,27.5360833333333
"x189","2-POC-1_12",177.149820923077,0.00954010256410258,27.5762068965517
"x173","2-POC-2_1",172.026180174216,-0.00651432055749123,27.4171509433962
"x186","2-POC-2_2",167.21813837535,-0.00544649859943973,27.4009189189189
"x1419","2-POC-2_3",164.009732608696,-0.00503695652173912,27.4167857142857
"x1282","2-POC-2_4",161.024637,-0.00413392307692326,27.4291842105263
"x132","2-POC-2_5",158.725587826087,-0.0024139130434782,27.4346617647059
"x1272","2-POC-2_6",156.578627335959,-0.00105563588628304,27.3626610169492
"x1543","2-POC-2_7",155.232930977191,0.00161783433373349,27.3233650793651
"x1124","2-POC-2_8",156.753101515151,0.00353701298701311,27.3248
"x121","2-POC-2_9",158.624261904762,0.00502380952380959,27.36528125
"x1203","2-POC-2_10",161.493527563191,0.00574062807746991,27.4691739130435
"x150","2-POC-2_11",165.349610541872,0.00641408866995096,27.5729444444444
"x167","2-POC-2_12",169.317979521368,0.0065288547008547,27.6428965517241
"x1147","2-POR-1_1",156.539631680672,-0.00711515406162449,27.3327884615385
"x1298","2-POR-1_2",151.62193968116,-0.00524939130434801,27.3511388888889
"39","2-POR-1_3",148.415314682981,-0.0042746384872078,27.39
"x1134","2-POR-1_4",145.915533304348,-0.00370373913043484,27.3903421052632
"x1974","2-POR-1_5",143.729882890365,-0.00120847176079728,27.3933235294118
"x13613","2-POR-1_6",142.262861006465,0.000349624870300914,27.2912627118644
"x1708","2-POR-1_7",142.438388362369,0.00240815331010463,27.2581935483871
"x1177","2-POR-1_8",144.748446691729,0.00443751879699262,27.2375
"x1179","2-POR-1_9",146.912339307692,0.00586607692307686,27.3014375
"x1448","2-POR-1_10",150.264237580645,0.0062253225806452,27.4107173913043
"x1242","2-POR-1_11",154.662005538461,0.00758215384615394,27.5011944444444
"x146","2-POR-1_12",159.506523399015,0.00804802955665033,27.5191379310345
"x1101","2-POR-2_1",178.367041034483,-0.00953955665024631,27.4445961538462
"x1314","2-POR-2_2",170.937613043478,-0.00922173913043511,27.4470833333333
"x181","2-POR-2_3",165.826114769231,-0.00690861538461533,27.4678048780488
"x1163","2-POR-2_4",161.971568854701,-0.00402355555555555,27.4892105263158
"x1548","2-POR-2_5",159.959359662086,0.00054821104485352,27.4956323529412
"x1270","2-POR-2_6",160.65304262043,0.00411052767986726,27.430906779661
"x1180","2-POR-2_7",166.433602201665,0.010924532839963,27.4025967741935
"x1105","2-POR-2_8",176.220041558442,0.0161142857142856,27.4222666666667
"x163","2-POR-2_9",184.756506842105,0.0201054385964915,27.47903125
"x1323","2-POR-2_10",196.243695585586,0.0215396782496782,27.6086956521739
"x1214","2-POR-2_11",211.034452102564,0.0229776410256408,27.7211714285714
"x1109","2-POR-2_12",224.827971461538,0.0228993076923076,27.7989655172414
"x1491","BLANK1_1",190.204291825821,0.000249809014514961,27.3294807692308
"62","BLANK1_2",190.331672192513,-8.39572192514222e-05,27.3311944444444
"x127","BLANK1_3",190.261588528529,-0.000118558558558549,27.3599512195122
"x1142","BLANK1_4",190.132665634164,-0.000314461143695001,27.3875789473684
"x1758","BLANK1_5",189.95832019124,-0.000298249807905703,27.4042058823529
"x12784","BLANK1_6",189.604560641047,-0.000303994739437805,27.3436779661017
"x1854","BLANK1_7",189.095428093883,-0.000428093883357074,27.2988412698413
"x188","BLANK1_8",188.644891897436,-0.000244376068376024,27.2962
"69","BLANK1_9",188.343565108225,-1.01298701299792e-05,27.3221875
"x1233","BLANK1_10",188.014572389532,-0.000597528957528695,27.4151739130435
"71","BLANK1_11",187.543175282051,-0.000390666666666618,27.5171111111111
"72","BLANK1_12",187.349420214568,-0.00103286278938435,27.5986896551724
